Date,Adj Close,Close,High,Low,Open,Volume
2/13/2023,172.4799957,172.4799957,172.8999939,172.0700073,172.6999969,3970800
2/14/2023,172.6100006,172.6100006,173.5099945,171.4100037,171.9700012,5403100
2/15/2023,170.8899994,170.8899994,170.9900055,170.1600037,170.6000061,5423800
2/16/2023,170.75,170.75,171.6000061,169.9600067,170.3399963,4540400
2/17/2023,171.2599945,171.2599945,171.4700012,169.5200043,169.8699951,4809800
2/21/2023,170.6199951,170.6199951,171.5,170.3399963,171.1999969,4035900
2/22/2023,169.6600037,169.6600037,170.9600067,169.5599976,170.8099976,4105700
2/23/2023,169.5700073,169.5700073,170.1300049,169.0800018,169.8399963,5073500
2/24/2023,168.3500061,168.3500061,168.8399963,168.1900024,168.4199982,6496500
2/27/2023,169.0099945,169.0099945,169.2299957,168.5500031,168.8800049,4509200
2/28/2023,169.7799988,169.7799988,170.25,168.5899963,168.7799988,6761600
3/1/2023,170.7599945,170.7599945,171.4900055,170.4700012,170.9499969,6590500
3/2/2023,170.6600037,170.6600037,170.9799957,170.3600006,170.5200043,3950700
3/3/2023,172.4900055,172.4900055,172.6000061,170.9799957,171.4499969,6894500
3/6/2023,171.6199951,171.6199951,172.3699951,171.5399933,172.3200073,4264100
3/7/2023,168.6199951,168.6199951,170.4700012,168.5200043,170.4199982,8713300
3/8/2023,168.5399933,168.5399933,169.5899963,168.5200043,168.6100006,5718600
3/9/2023,170.1999969,170.1999969,170.6499939,169.7100067,169.75,5583000
3/10/2023,173.8699951,173.8699951,173.8800049,171.9199982,171.9299927,13803400
3/13/2023,177.8600006,177.8600006,178.0200043,176.3000031,176.6600037,20554400
3/14/2023,176.8300018,176.8300018,177.5899963,176.2100067,177.3500061,10019000
3/15/2023,178.2100067,178.2100067,180.1300049,177.4900055,178.8600006,14546100
3/16/2023,178.5700073,178.5700073,179.6499939,177.8699951,179.5099945,10762200
3/17/2023,183.7700043,183.7700043,184.8099976,180.7700043,181.0200043,24156300
3/20/2023,183.8399963,183.8399963,184.5399933,182.7400055,184.1900024,11845700
3/21/2023,180.3699951,180.3699951,182.7299957,179.8999939,182.6499939,10734500
3/22/2023,183.4400024,183.4400024,183.9400024,180.2799988,180.3999939,11969600
3/23/2023,185.7400055,185.7400055,186.2400055,183.6000061,183.9100037,11347100
3/24/2023,183.6499939,183.6499939,185.9900055,183.6199951,185.6100006,9245900
3/27/2023,181.9499969,181.9499969,182.1499939,180.6900024,181.1499939,6925000
