,Date,Adj Close,Close,High,Low,Open,Volume
187,2019-09-30,1465.699951,1465.699951,1495.900024,1463.5,1495.900024,1078
188,2019-10-01,1482.0,1482.0,1485.5,1458.300049,1468.699951,219
189,2019-10-02,1501.0,1501.0,1503.699951,1474.099976,1476.599976,205
190,2019-10-03,1507.099976,1507.099976,1518.199951,1496.599976,1497.400024,1213
191,2019-10-04,1506.199951,1506.199951,1508.699951,1497.099976,1505.599976,233
192,2019-10-07,1497.699951,1497.699951,1505.800049,1489.099976,1504.800049,121
193,2019-10-08,1497.199951,1497.199951,1506.300049,1489.300049,1489.400024,46
194,2019-10-09,1506.099976,1506.099976,1507.699951,1498.400024,1507.699951,120
195,2019-10-10,1494.800049,1494.800049,1511.199951,1490.599976,1511.199951,78
196,2019-10-11,1482.699951,1482.699951,1494.900024,1476.900024,1491.900024,57
197,2019-10-14,1491.699951,1491.699951,1493.5,1481.300049,1484.400024,400
198,2019-10-15,1477.599976,1477.599976,1495.400024,1476.599976,1488.900024,367
199,2019-10-16,1488.0,1488.0,1488.0,1480.0,1482.0,383
200,2019-10-17,1492.300049,1492.300049,1493.199951,1485.800049,1486.199951,271
201,2019-10-18,1488.199951,1488.199951,1489.099976,1486.599976,1487.300049,82
202,2019-10-21,1482.400024,1482.400024,1489.900024,1481.5,1489.900024,72
203,2019-10-22,1481.699951,1481.699951,1483.5,1481.699951,1483.400024,99
204,2019-10-23,1489.900024,1489.900024,1490.300049,1486.400024,1486.400024,67
205,2019-10-24,1498.900024,1498.900024,1501.199951,1485.900024,1490.5,115
206,2019-10-25,1499.5,1499.5,1514.300049,1499.0,1501.400024,93
207,2019-10-28,1490.0,1490.0,1504.099976,1490.0,1504.099976,37
208,2019-10-29,1487.0,1487.0,1487.0,1485.900024,1485.900024,425
209,2019-10-30,1493.199951,1493.199951,1495.400024,1481.0,1487.199951,320
210,2019-10-31,1511.400024,1511.400024,1513.099976,1496.099976,1496.099976,210
211,2019-11-01,1508.0,1508.0,1511.599976,1503.0,1511.0,235
212,2019-11-04,1508.0,1508.0,1511.599976,1508.0,1511.599976,101
213,2019-11-05,1480.800049,1480.800049,1507.099976,1480.800049,1507.099976,31
214,2019-11-06,1490.199951,1490.199951,1491.0,1483.199951,1483.199951,567
215,2019-11-07,1464.199951,1464.199951,1489.099976,1464.199951,1489.099976,581
216,2019-11-08,1461.300049,1461.300049,1469.099976,1461.300049,1469.099976,21
217,2019-11-11,1455.5,1455.5,1461.0,1449.300049,1461.0,22
218,2019-11-12,1452.099976,1452.099976,1454.900024,1447.099976,1454.900024,6
219,2019-11-13,1461.699951,1461.699951,1463.300049,1456.800049,1456.800049,56
220,2019-11-14,1471.800049,1471.800049,1471.800049,1463.699951,1463.800049,83
221,2019-11-15,1467.300049,1467.300049,1469.099976,1467.300049,1469.099976,13
222,2019-11-18,1470.900024,1470.900024,1472.0,1469.699951,1472.0,141
223,2019-11-19,1473.300049,1473.300049,1474.300049,1467.699951,1467.699951,18
224,2019-11-20,1473.300049,1473.300049,1474.5,1467.300049,1472.599976,31
225,2019-11-21,1463.099976,1463.099976,1463.099976,1463.099976,1463.099976,16
226,2019-11-22,1463.099976,1463.099976,1468.599976,1463.099976,1468.599976,19
227,2019-11-25,1456.599976,1456.599976,1457.099976,1455.5,1457.099976,14
228,2019-11-26,1459.800049,1459.800049,1459.800049,1459.800049,1459.800049,346362
229,2019-11-27,1453.400024,1453.400024,1461.900024,1452.0,1461.099976,88364
230,2019-11-29,1465.599976,1465.599976,1465.599976,1452.099976,1453.599976,7020
231,2019-12-02,1462.300049,1462.300049,1464.400024,1453.300049,1462.800049,2172
232,2019-12-03,1478.199951,1478.199951,1480.400024,1459.5,1461.599976,1460
233,2019-12-04,1474.0,1474.0,1483.400024,1471.199951,1477.5,613
234,2019-12-05,1476.900024,1476.900024,1478.0,1472.300049,1474.699951,907
235,2019-12-06,1459.099976,1459.099976,1476.0,1458.199951,1475.0,899
236,2019-12-09,1459.300049,1459.300049,1464.199951,1458.599976,1458.800049,1461
237,2019-12-10,1462.599976,1462.599976,1467.199951,1460.699951,1460.699951,367
238,2019-12-11,1469.400024,1469.400024,1475.400024,1463.099976,1463.099976,393
239,2019-12-12,1466.699951,1466.699951,1483.900024,1463.699951,1475.099976,955
240,2019-12-13,1475.599976,1475.599976,1475.900024,1463.099976,1463.099976,468
241,2019-12-16,1475.0,1475.0,1475.300049,1473.800049,1473.800049,99
242,2019-12-17,1474.599976,1474.599976,1476.900024,1474.0,1474.099976,410
243,2019-12-18,1472.599976,1472.599976,1472.599976,1472.599976,1472.599976,250
244,2019-12-19,1478.199951,1478.199951,1478.900024,1473.300049,1475.900024,319
245,2019-12-20,1474.699951,1474.699951,1478.099976,1474.699951,1476.699951,118
246,2019-12-23,1482.5,1482.5,1482.5,1479.900024,1482.300049,391
247,2019-12-24,1499.099976,1499.099976,1499.099976,1488.699951,1488.699951,52
248,2019-12-26,1509.300049,1509.300049,1512.300049,1505.0,1505.199951,126
249,2019-12-27,1513.800049,1513.800049,1513.800049,1513.800049,1513.800049,839
250,2019-12-30,1514.5,1514.5,1515.099976,1510.0,1512.599976,446
251,2019-12-31,1519.5,1519.5,1523.400024,1513.800049,1513.800049,301
252,2020-01-02,1524.5,1524.5,1528.699951,1518.0,1518.099976,214
253,2020-01-03,1549.199951,1549.199951,1552.699951,1530.099976,1530.099976,107
254,2020-01-06,1566.199951,1566.199951,1580.0,1560.400024,1580.0,416
255,2020-01-07,1571.800049,1571.800049,1576.300049,1558.300049,1558.300049,47
256,2020-01-08,1557.400024,1557.400024,1604.199951,1552.300049,1579.699951,236
257,2020-01-09,1551.699951,1551.699951,1555.699951,1543.300049,1555.699951,54
258,2020-01-10,1557.5,1557.5,1558.800049,1545.400024,1551.199951,16
259,2020-01-13,1548.400024,1548.400024,1558.0,1548.400024,1557.400024,48
260,2020-01-14,1542.400024,1542.400024,1546.699951,1534.900024,1546.699951,32
261,2020-01-15,1552.099976,1552.099976,1553.900024,1545.599976,1548.0,11
262,2020-01-16,1549.0,1549.0,1556.099976,1548.5,1555.699951,98
263,2020-01-17,1558.800049,1558.800049,1558.800049,1553.599976,1554.099976,108
264,2020-01-21,1556.400024,1556.400024,1566.199951,1551.0,1559.300049,45
265,2020-01-22,1555.300049,1555.300049,1557.099976,1549.800049,1549.800049,42
266,2020-01-23,1564.599976,1564.599976,1564.599976,1552.199951,1553.099976,15
267,2020-01-24,1571.099976,1571.099976,1571.099976,1556.300049,1556.300049,43
268,2020-01-27,1576.800049,1576.800049,1584.5,1576.800049,1584.300049,22
269,2020-01-28,1569.199951,1569.199951,1576.400024,1569.199951,1576.400024,3
270,2020-01-29,1569.800049,1569.800049,1569.800049,1569.800049,1569.800049,251274
271,2020-01-30,1583.5,1583.5,1585.0,1571.400024,1576.800049,62336
272,2020-01-31,1582.900024,1582.900024,1589.0,1570.0,1573.400024,1095
273,2020-02-03,1577.199951,1577.199951,1593.300049,1568.199951,1592.900024,1062
274,2020-02-04,1550.400024,1550.400024,1577.699951,1547.800049,1577.699951,978
275,2020-02-05,1557.800049,1557.800049,1560.699951,1547.699951,1553.199951,1305
276,2020-02-06,1565.099976,1565.099976,1565.599976,1551.599976,1553.599976,110
277,2020-02-07,1568.599976,1568.599976,1571.900024,1560.5,1564.900024,431
278,2020-02-10,1574.699951,1574.699951,1574.699951,1568.599976,1569.300049,128
279,2020-02-11,1565.599976,1565.599976,1571.099976,1561.900024,1570.900024,440
280,2020-02-12,1567.400024,1567.400024,1568.699951,1561.0,1565.199951,36
281,2020-02-13,1575.099976,1575.099976,1575.099976,1570.199951,1570.199951,74
282,2020-02-14,1582.699951,1582.699951,1582.699951,1574.800049,1575.800049,68
283,2020-02-18,1600.0,1600.0,1604.300049,1579.800049,1579.800049,310
284,2020-02-19,1607.5,1607.5,1610.5,1599.699951,1600.599976,542
285,2020-02-20,1616.599976,1616.599976,1621.0,1603.0,1606.5,117
286,2020-02-21,1644.599976,1644.599976,1645.0,1619.300049,1619.300049,186
287,2020-02-24,1672.400024,1672.400024,1686.599976,1650.0,1657.0,435
288,2020-02-25,1646.900024,1646.900024,1653.699951,1632.300049,1645.099976,409
289,2020-02-26,1640.0,1640.0,1648.099976,1636.400024,1644.0,1990
290,2020-02-27,1640.0,1640.0,1658.0,1638.5,1641.099976,707
291,2020-02-28,1564.099976,1564.099976,1642.5,1564.099976,1640.300049,289
292,2020-03-02,1592.300049,1592.300049,1608.300049,1574.300049,1583.900024,537
293,2020-03-03,1642.099976,1642.099976,1645.300049,1594.0,1594.5,610
294,2020-03-04,1641.099976,1641.099976,1645.900024,1631.300049,1645.400024,83
295,2020-03-05,1666.400024,1666.400024,1672.900024,1637.199951,1637.300049,154
296,2020-03-06,1670.800049,1670.800049,1686.199951,1647.199951,1670.800049,175
297,2020-03-09,1674.5,1674.5,1701.599976,1657.699951,1696.099976,161
298,2020-03-10,1659.099976,1659.099976,1674.599976,1643.0,1671.599976,48
299,2020-03-11,1641.400024,1641.400024,1666.5,1635.0,1656.599976,47
300,2020-03-12,1589.300049,1589.300049,1647.5,1566.400024,1637.0,256
301,2020-03-13,1515.699951,1515.699951,1589.800049,1513.800049,1574.900024,89
302,2020-03-16,1485.900024,1485.900024,1569.099976,1452.099976,1569.099976,193
303,2020-03-17,1524.900024,1524.900024,1537.699951,1469.300049,1469.300049,122
304,2020-03-18,1477.300049,1477.300049,1542.0,1477.300049,1537.5,333
305,2020-03-19,1478.599976,1478.599976,1491.599976,1471.0,1481.5,262
306,2020-03-20,1484.0,1484.0,1484.0,1483.5,1483.5,14
307,2020-03-23,1567.0,1567.0,1567.0,1490.199951,1505.300049,51
308,2020-03-24,1660.199951,1660.199951,1685.5,1592.699951,1592.699951,442
309,2020-03-25,1632.300049,1632.300049,1676.5,1631.099976,1676.5,476
310,2020-03-26,1650.099976,1650.099976,1660.5,1650.099976,1660.5,3
311,2020-03-27,1623.900024,1623.900024,1623.900024,1623.900024,1623.900024,100638
312,2020-03-30,1622.0,1622.0,1652.800049,1607.199951,1641.199951,16389
313,2020-03-31,1583.400024,1583.400024,1621.0,1576.0,1618.699951,2874
314,2020-04-01,1578.199951,1578.199951,1600.0,1570.0,1570.0,2158
315,2020-04-02,1625.699951,1625.699951,1631.199951,1586.0,1590.900024,1294
316,2020-04-03,1633.699951,1633.699951,1636.0,1619.800049,1624.5,643
317,2020-04-06,1677.0,1677.0,1696.699951,1625.900024,1629.099976,1063
318,2020-04-07,1664.800049,1664.800049,1724.400024,1658.0,1695.699951,1144
319,2020-04-08,1665.400024,1665.400024,1677.0,1662.5,1669.699951,747
320,2020-04-09,1736.199951,1736.199951,1736.199951,1662.699951,1662.699951,825
321,2020-04-13,1744.800049,1744.800049,1756.800049,1710.699951,1722.0,696
322,2020-04-14,1756.699951,1756.699951,1775.0,1739.5,1756.800049,675
323,2020-04-15,1727.199951,1727.199951,1744.900024,1722.699951,1739.400024,642
324,2020-04-16,1720.400024,1720.400024,1750.599976,1715.0,1731.0,162
325,2020-04-17,1689.199951,1689.199951,1725.0,1684.900024,1715.699951,223
326,2020-04-20,1701.599976,1701.599976,1701.599976,1680.0,1686.0,106
327,2020-04-21,1678.199951,1678.199951,1707.099976,1659.900024,1697.0,666
328,2020-04-22,1728.699951,1728.699951,1728.699951,1684.800049,1696.0,453
329,2020-04-23,1733.300049,1733.300049,1745.099976,1733.300049,1734.0,482
330,2020-04-24,1723.5,1723.5,1744.0,1714.5,1744.0,221
331,2020-04-27,1711.900024,1711.900024,1731.900024,1711.900024,1731.900024,169
332,2020-04-28,1710.5,1710.5,1716.599976,1707.099976,1716.599976,1255
333,2020-04-29,1703.400024,1703.400024,1713.5,1702.0,1710.0,373
334,2020-04-30,1684.199951,1684.199951,1719.300049,1680.800049,1719.300049,327
335,2020-05-01,1694.5,1694.5,1701.5,1670.5,1686.599976,337
336,2020-05-04,1706.900024,1706.900024,1709.0,1699.599976,1702.599976,320
